20200218181057.085,10.0.1.194,8001,10.0.1.199,50982,3,0.0-0.1,854070,68325600,1.471,280,861,32.520,2
20200218181057.085,10.0.1.194,8001,10.0.1.199,44369,4,0.0-0.1,849660,67972800,1.375,285,863,33.024,2
20200218181057.085,10.0.1.194,8001,10.0.1.199,48194,6,0.0-0.1,836430,66914400,1.375,289,858,33.683,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,34822,8,0.0-0.1,749700,59976000,1.383,290,800,36.250,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,42168,5,0.0-0.1,733530,58682400,1.340,281,780,36.026,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,49488,9,0.0-0.1,752640,60211200,1.330,289,801,36.080,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,53066,11,0.0-0.1,751170,60093600,1.318,282,793,35.561,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,50804,13,0.0-0.1,751170,60093600,1.341,279,790,35.316,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,33247,7,0.0-0.1,742350,59388000,1.322,281,786,35.751,0
20200218181057.085,10.0.1.194,8001,10.0.1.199,50732,10,0.0-0.1,732060,58564800,1.379,279,777,35.907,0
20200218181057.085,10.0.1.194,0,10.0.1.199,0,-1,0.0-0.1,7752780,620222400,1.471,2835,8109,34.961,4
20200218181057.186,10.0.1.194,8001,10.0.1.199,50982,3,0.1-0.2,249900,19992000,1.078,650,820,79.268,0
20200218181057.186,10.0.1.194,8001,10.0.1.199,44369,4,0.1-0.2,210210,16816800,1.312,670,813,82.411,0
20200218181057.186,10.0.1.194,8001,10.0.1.199,48194,6,0.1-0.2,224910,17992800,1.079,660,813,81.181,0
20200218181057.186,10.0.1.194,8001,10.0.1.199,34822,8,0.1-0.2,202860,16228800,1.044,666,804,82.836,0
20200218181057.186,10.0.1.194,8001,10.0.1.199,42168,5,0.1-0.2,201390,16111200,1.153,676,813,83.149,0
