time,server2,server3,server4
0,-,442389120,-
1,123715200,506329920,-
2,121245600,512310400,-
3,121245599,494645439,-
4,121128000,476033600,-
5,121245600,494645440,-
6,121128000,497508800,-
7,121363200,489634559,-
8,121127999,508962240,-
9,121245600,499656320,-
10,121128000,478181119,-
11,121245599,244101440,-
12,121245600,495361279,8590080
13,121127999,355056640,180391679
14,121245600,405165439,2147520
15,121245599,466727679,73015680
16,121245599,367941760,172517440
17,121128000,402302079,182771840
18,121127999,254839040,98070079
19,121245600,483191999,65141440
20,121245599,215467839,337876480
21,121127999,337160639,140052799
22,121363199,355056640,66824960
23,121128000,453842559,22191039
24,121245599,390848639,104512640
25,121127999,345750719,310674559
26,121127999,44382079,397291199
27,121363199,386301760,21475200
28,121128000,439777599,44382079
29,121127999,469591039,16464320
30,121363199,471022719,59414719
31,121245599,340739839,153189759
32,121127999,453842560,9305919
33,121245600,473170239,19327680
34,121245599,418766399,103796799
35,121010399,181107519,388701119
36,121363199,169654079,137189439
37,121127999,306906560,394679679
38,121245600,87332479,373668480
39,121245599,73731519,284188479
40,121127999,263429120,247680639
41,121245600,178244159,307811199
42,121127999,387269440,100217599
43,121128000,314969599,254123200
44,121363199,215467840,193276799
45,121245600,334297280,151758079
46,121128000,386553599,46529599
47,121245599,369373440,125987839
48,121128000,274882559,299221120
49,121245599,341455680,90911679
50,121245600,458853440,152473919
51,121128000,181823359,224773760
52,121245599,355520640,201866879
53,121245600,340275839,21475200
54,121245599,485339520,60130559
55,121128000,394537920,171085760
56,121245600,377963519,22906880
57,121127999,492497920,22191039
58,121245600,423061439,47245440
59,121245599,413039680,58698879
60,121128000,363646720,146747200
61,121245600,370089279,115250240
62,121245599,414471360,76594879
63,121245600,202582719,403733760
64,121010399,303667520,42234559
65,121245600,487487040,13600960
66,121363200,468159359,37939520
67,121127999,342887360,232647999
68,121245600,236943039,158916480
69,121127999,423061440,145063679
70,121245600,142452160,388237120
71,121245600,352909119,103796800
72,121245599,272019200,196140159
73,121010400,336444799,89480000
74,121363199,424493120,70868159
75,121245600,429504000,47245440
76,121128000,468875199,53688000
77,121245599,245533120,219762879
78,121010400,477465279,18611840
79,121363199,490350400,8590079
80,121245600,491782080,0
81,121128000,468875200,62993920
82,121245600,222626239,247680639
83,-,438558080,32212800
84,100665599,486307200,7874239
85,0,475317760,60846400
86,-,423777280,120261120
87,0,141020479,320696319
88,0,371520960,149610560
89,0,274882560,151042239
90,0,438809920,70152320
91,0,383690240,67288960
92,0,448115839,60130560
93,2234399,442389120,61562239
94,122539200,426640640,73015680
95,121245600,459569280,69436480
96,121128000,291346880,160348160
97,121245600,440957439,80889920
98,121127999,413039680,45813759
99,121363200,484623680,2863360
100,121128000,328570560,171085760
101,121245600,478181120,30781120
102,121128000,470306879,2863360
103,121363199,380826880,219047039
104,121128000,329286400,71584000
105,121245600,267008320,186834240
106,121128000,390132800,30065280
107,121245600,493213759,17180160
108,121245599,463148480,19327679
109,121245600,467443520,27201920
110,121128000,477465280,71584000
111,121245600,244817280,229068800
112,121128000,292778559,253407360
113,121245599,338592320,36507839
114,121245600,433083200,66573120
115,121245600,385121920,100217600
116,121128000,495361280,42950400
117,121245600,446684159,15748480
118,121245599,447400000,108091839
119,121128000,207593600,245533120
120,121245600,398007040,155337280
121,121128000,321412160,95922560
122,121245600,337876479,105944320
123,121245599,439525760,118829439
124,121128000,158200640,191129280
125,121245600,468159360,2147520
126,121128000,508405760,20759360
127,121363200,468875199,88764160
128,121127999,314253760,204730239
129,121245600,259134080,329286400
130,121245600,244817280,47961280
131,121128000,462432640,24338560
132,121128000,476749439,18611840
133,121363199,362930880,117397759
134,121128000,465296000,1431680
135,121128000,513257280,62993920
136,121363200,407312960,19327680
137,121128000,478181119,15032640
138,121245599,465296000,25054399
139,121128000,350509760,157484800
140,121128000,450703040,140304640
141,121363200,287767680,122408640
142,121128000,417334719,29349440
143,121127999,421629760,158916479
144,121363200,221910400,142452160
145,121128000,420198080,181823360
146,121128000,153905600,330002240
147,121363200,269871679,140304640
148,121127999,450979200,50108799
149,121245600,458853440,132430400
150,121245600,313537920,144599680
151,121245600,204730240,409460480
152,121128000,226921279,123124480
153,121245599,405881280,56551359
154,121128000,486771200,17896000
155,121245600,463864320,93775040
156,121245600,423061440,10737600
157,121128000,468875199,37939520
158,121245599,466011840,20759359
159,121245600,379395200,51540480
160,121128000,433799039,5726720
161,121245599,450979200,0
162,121128000,455990079,40802880
163,121245599,495825280,15748479
164,121245600,456241919,20759360
165,121127999,458137599,28633600
166,121245599,467443520,30065280
167,121245600,467192319,25770240
168,121127999,486055360,30065279
169,121128000,438809919,45097920
170,121363199,438094079,33644480
171,121127999,485339520,10737599
172,121245600,442389119,2147520
173,121245599,471022720,0
174,121128000,269871679,387985280
175,121245599,110955199,468159359
176,121127999,73731520,292778559
177,121363200,418050559,60846400
178,121010399,412323840,172517439
179,121363200,124556159,236227200
180,121127999,213320319,401586239
181,121245599,7158400,493929599
182,121245600,105228479,244101440
183,121127999,326423040,143883839
184,121245600,266292479,307095360
185,121127999,220478719,146031359
186,121245599,494645440,94490879
187,121128000,340023999,73731520
188,121363199,493213760,147463039
189,121245600,115250239,424493120
190,121127999,232647999,207593599
191,121127999,368657600,225489599
192,121245600,85184959,371520960
193,121245599,118829440,193276799
194,121128000,472454399,24338560
195,121363199,481760319,114534399
196,121127999,84469120,441673279
197,121128000,171549759,153905600
198,121363199,476285440,62993919
199,121128000,407312959,198287680
200,121245599,123124479,399438719
201,121245599,251259840,99501759
202,121010400,431651519,75879040
203,121245599,307095360,165359039
204,121128000,495361279,44382080
205,121363199,434514879,40087039
206,121127999,347898240,229068799
207,121363200,355772479,36507840
208,121127999,445252480,59414719
209,121128000,398722879,110955200
210,121245599,416618879,60846399
211,121245599,375816000,109523519
212,121245600,450979199,24338560
213,121127999,292062720,156053119
214,121245600,461464959,23622720
215,121127999,512793279,3579199
216,121363199,526858240,38655359
217,121010400,437378239,40087040
218,121245599,356488320,141736319
219,121245600,237658879,146031360
220,121245599,523994879,62278079
221,121245599,366510080,103796799
222,121010400,440241599,37223680
223,121363199,454306560,2863359
224,121245600,482012159,169654080
225,121245599,151758079,255554879
226,121127999,389416960,55119679
227,121245600,385585919,118113600
228,121127999,137693120,268439999
229,121245600,445252479,161779840
230,121245599,247680639,225489599
231,121127999,282040960,151758079
232,121245600,486563839,8590080
233,121127999,434514880,196140159
234,121245600,103080959,275598400
235,121127999,383690239,78742399
236,121363199,418050560,88048319
237,121128000,421629759,55119680
238,121245599,294210240,344319039
239,121245600,80174079,390848640
240,121127999,97354239,245533119
241,121127999,283472640,271767359
242,121245600,408744639,126239680
243,121245599,421629760,17180159
244,121245600,432367359,32928640
245,121127999,474601919,29349439
246,121245599,401092800,140304639
247,121128000,402302079,47245440
248,121363199,433799040,67288959
249,121128000,400870399,52972160
250,121245599,467443519,37939519
251,121127999,461000960,30781119
252,121245600,476033599,12885120
253,121127999,450263360,17180159
254,121363200,358635839,206161920
255,121127999,185402559,214036159
256,121245599,287051840,207593599
257,121245600,382974399,102365120
258,121127999,437378240,75163199
259,121245600,370805119,109523520
260,121245599,423777279,90195839
261,121127999,413755520,38655359
262,121128000,453126719,70868160
263,121363199,410176320,22906879
264,121128000,497508799,5010880
265,121127999,446684159,98785919
266,121363199,297789440,208309439
267,121010400,382974399,73015680
268,121245599,434514880,80174079
269,121245600,182539199,350761600
270,121127999,272735039,126703679
271,121363199,362215040,118829439
272,121245600,462432639,20043520
273,121127999,480328640,10737599
274,121128000,456705919,30781120
275,121363199,414471359,128851199
276,121127999,249828160,256270719
277,121128000,82321599,336444800
278,121245599,431651520,113818559
279,121245600,93059199,319980480
280,121245599,320696319,156768959
281,121245599,326887040,64425599
282,121128000,357455999,166790720
283,121127999,428072320,46529599
284,121363200,378175679,62278080
285,121127999,472242239,32212799
286,121245599,479612800,16464319
287,121128000,457421759,73015680
288,121245599,408028800,55119679
289,121245600,398007039,96638400
290,121245599,420662079,40087039
291,121127999,541426880,13600959
292,121245600,272019199,390848640
293,121245599,5726720,485339519
294,121128000,128851199,178244160
295,121127999,509678079,29813439
296,121363199,375100160,66824959
297,121128000,485087679,1431680
298,121245599,541426880,2147519
299,121128000,486055359,117397760
300,121245599,-,409460479
301,8114399,-,464580159
302,-,-,499656320
303,116163808,-,409460479
304,-,-,347182400
305,-,-,468159359
306,-,-,464580159
307,-,-,482476160
308,-,-,499656319
309,-,-,480328640
310,-,-,426640639
311,-,-,135187480
312,-,352845908,-
