time,server2,server3,server4
229,760519199,94490880,119545279
230,792976799,129567039,42234560
231,760284000,45813759,136009599
232,774631199,123124480,79458239
233,773572800,135293759,77310720
234,786391199,108091840,64425599
235,763106399,111671039,76594880
236,758872800,96638399,114534399
237,740174399,86616640,106660159
238,797563200,168222399,32212800
239,787449599,98070080,39371199
240,789919199,170369919,32212800
241,833901600,35791999,117397759
242,800150399,11453440,143883839
243,802267200,139588799,26486080
244,778629599,96638400,63709759
245,745583999,33644479,172517440
246,802032000,109523519,82321599
247,726532799,87332480,99501759
248,776160000,103080959,118829440
249,785450399,128135360,33644479
250,713949599,112386879,128135360
251,755815200,81605759,128135359
252,732765599,182539200,36507839
253,779570400,110955199,91627520
254,783098399,99501760,51540479
255,743114399,143167999,88048320
256,759108000,123124479,116681919
257,795799199,23622720,150326399
258,729943200,29349439,162495680
259,744643199,122408640,110955199
260,773925599,17895999,187550080
261,774631200,75163199,115250239
262,776395199,67288960,107375999
263,713361600,68004799,176096640
264,757814399,130998720,94490879
265,783803999,44382079,145315520
266,785568000,78742399,89479999
267,734176799,72299840,141736319
268,745348800,44382079,176812480
269,744760799,138872960,80174079
270,773925599,156053119,37939520
271,739233600,80889919,161063999
272,763459199,83037440,120976959
273,799915200,20759359,125987840
274,754521599,55835520,145315519
275,753110399,90911679,140304640
276,736764000,107375999,100933439
277,785450399,40087040,164643199
278,711715200,97354239,118829440
279,775454399,93059200,137441279
280,731942399,66573119,128135360
281,801208800,106660159,110239359
282,800267999,55835520,74447359
283,799562400,82321599,75879040
284,805795199,75879040,100217599
285,808852799,5010879,157484800
286,743584800,47245439,134577919
287,779099999,90911680,94490879
288,764988000,178959999,25770240
289,756638399,78742400,103796799
290,736293599,100933439,138872960
291,756285600,103796799,115250239
292,744995999,109523520,102365119
293,765576000,111671039,98785920
294,750405599,60846400,159632319
295,751463999,25770239,167506560
296,788743200,51540479,126703679
297,772867199,142452160,66573119
298,727238400,143883839,71584000
299,742173599,108091840,110239359
300,-,109523519,476033600
301,762588466,2147519,1002175999
302,-,544038400,-
303,-,990006719,-
304,-,991438400,-
305,-,996449279,105853101
306,-,104874222,-
