time,server2,server3,server4
272,170990399,-,-
273,194745599,818205119,-
274,218030400,755211199,-
275,171813599,798161600,-
276,200508000,805319999,-
277,227673599,750916160,-
278,236728799,759506239,-
279,214855200,751631999,-
280,190159199,773107200,-
281,184749600,813194239,-
282,218500799,755211200,-
283,206975999,782413119,-
284,167815200,-,-
285,191452799,796014079,-
286,168050400,809615039,-
287,162640799,-,-
288,179339999,792898879,-
289,204506400,-,-
290,197685599,817025279,-
291,186160800,776434559,-
292,203447999,778369920,-
293,183573599,809615039,-
294,181574400,813194239,-
295,189100799,783844800,-
296,220617600,789571519,-
297,-,748768640,-
298,-,881914879,-
299,217207199,-,-
300,182553044,796763658,-
