time,server2,server3,server4
262,506503200,0,462432639
263,497800799,0,-
264,506268000,0,461716799
265,498976799,0,477465280
266,495801599,0,473886079
267,490627200,0,478181120
268,496389599,0,478645119
269,512500800,0,452662719
270,505327199,0,457421760
271,532375199,0,459569279
272,512265600,0,423777280
273,496507199,0,479612799
274,511442400,0,492497919
275,520027199,0,461716800
276,547780799,0,405881280
277,558129600,0,-
278,569301599,0,443820799
279,500388000,0,372952639
280,527318399,0,470055040
281,522143999,0,456957759
282,502857600,0,467443520
283,517910399,715840,462432639
284,711597600,0,244817280
285,529082399,0,-
286,495683999,0,437126399
287,507914400,0,468159359
288,516499199,0,466727679
289,533786400,0,-
290,497212799,715839,433083200
291,524260799,0,451695039
292,487216800,0,493929600
293,503327999,0,478181119
294,495566400,0,449547519
295,500740799,0,458853440
296,494037599,0,480540799
297,491097600,0,472958080
298,516381599,0,474601919
299,688900800,0,443104959
300,501681599,0,678616319
301,-,0,-
302,524630158,0,992154239
303,-,-,922717759
304,-,-,997165120
305,-,-,873324799
306,-,-,1005039359
307,-,-,460746308
308,-,5465214,-
