20200218165826.802,10.0.2.194,8002,10.0.2.199,44392,4,0.0-0.1,1315356,105228480
20200218165826.802,10.0.2.194,8002,10.0.2.199,44390,5,0.0-0.1,1279564,102365120
20200218165826.802,10.0.2.194,8002,10.0.2.199,44394,6,0.0-0.1,1243772,99501760
20200218165826.802,10.0.2.194,8002,10.0.2.199,44396,7,0.0-0.1,1261668,100933440
20200218165826.802,10.0.2.194,8002,10.0.2.199,44398,8,0.0-0.1,1243772,99501760
20200218165826.802,10.0.2.194,8002,10.0.2.199,44400,10,0.0-0.1,1234824,98785920
20200218165826.802,10.0.2.194,8002,10.0.2.199,44404,11,0.0-0.1,1243772,99501760
20200218165826.802,10.0.2.194,8002,10.0.2.199,44408,16,0.0-0.1,1261668,100933440
20200218165826.802,10.0.2.194,8002,10.0.2.199,44402,9,0.0-0.1,1243772,99501760
20200218165826.802,10.0.2.194,8002,10.0.2.199,44406,14,0.0-0.1,1261668,100933440
20200218165826.802,10.0.2.194,0,10.0.2.199,0,-1,0.0-0.1,12589836,1007186880
20200218165826.903,10.0.2.194,8002,10.0.2.199,44392,4,0.1-0.2,492140,39371200
20200218165826.903,10.0.2.194,8002,10.0.2.199,44396,7,0.1-0.2,688996,55119680
20200218165826.903,10.0.2.194,8002,10.0.2.199,44404,11,0.1-0.2,465296,37223680
20200218165826.903,10.0.2.194,8002,10.0.2.199,44406,14,0.1-0.2,474244,37939520
20200218165826.923,10.0.2.194,8002,10.0.2.199,44390,5,0.1-0.2,527932,42234560
20200218165826.923,10.0.2.194,8002,10.0.2.199,44394,6,0.1-0.2,170012,13600960
20200218165826.923,10.0.2.194,8002,10.0.2.199,44398,8,0.1-0.2,563724,45097920
20200218165826.923,10.0.2.194,8002,10.0.2.199,44402,9,0.1-0.2,581620,46529600
20200218165826.943,10.0.2.194,8002,10.0.2.199,44400,10,0.1-0.2,214752,17180160
20200218165826.943,10.0.2.194,8002,10.0.2.199,44408,16,0.1-0.2,348972,27917760
20200218165826.943,10.0.2.194,0,10.0.2.199,0,-1,0.1-0.2,4527688,362215040
20200218165827.004,10.0.2.194,8002,10.0.2.199,44396,7,0.2-0.3,250544,20043520
20200218165827.004,10.0.2.194,8002,10.0.2.199,44408,16,0.2-0.3,0,0
20200218165827.004,10.0.2.194,8002,10.0.2.199,44402,9,0.2-0.3,161064,12885120
