time,server2,server3,server4
0,-,1022219520,-
1,-,988575040,-
2,151939200,833953600,-
3,163816800,817489279,-
4,161112000,827511040,-
5,208857599,750916160,-
6,182397600,824859840,-
7,183456000,808687039,-
8,166168800,818920960,-
9,189335999,783844800,-
10,231436800,662867839,-
11,242844000,178244160,458671040
12,404779199,133862079,572672000
13,216266400,53688000,576967040
14,256955999,376531839,507530559
15,221323200,705566399,72299840
16,185925599,782664960,6442560
17,251193599,453126719,114000960
18,193216800,679332160,283472639
19,229202399,684343039,20759360
20,177928800,15748479,654277760
21,189100799,0,773823039
22,208034399,19327680,798877440
23,180986399,6442559,764517119
24,192276000,0,796729920
25,202154399,45097919,760686079
26,207446399,12169279,744725439
27,203330399,0,796014080
28,190276799,19327679,796478079
29,235670400,28633599,660256320
30,157701599,3579199,822964159
31,197920799,33644479,807719359
32,244843199,62993920,649015039
33,279417599,289199359,549301120
34,216501600,733020159,73731519
35,192511199,785992319,6442559
36,239786399,196140159,348614079
37,249664799,267008320,625644159
38,173930399,823215999,11453440
39,186396000,794582399,4295039
40,253545599,505383040,68720639
41,232024799,36507839,668594559
42,187454400,5726720,801740799
43,184514399,15748479,771675520
44,177340800,0,803172479
45,234729599,1431680,762369599
46,277888800,481044479,403733759
47,308464800,563366080,83753279
48,220499999,753779519,21475200
49,186984000,798221440,8590079
50,216383999,735167680,27917759
51,263188800,663583679,26486080
52,282592800,574819520,163211519
53,382435199,447399999,80889920
54,189100800,715840,674321279
55,211091999,37939520,773107200
56,237787200,40802879,687206400
57,241668000,27201920,750200319
58,189806399,32212799,699375680
59,306112800,584125440,277030079
60,215560799,761653760,2863360
61,271773600,542606719,22191040
62,287179200,628255680,194708479
63,173107199,814877759,4295040
64,173695200,818205120,2147519
65,186748799,787424000,7874240
66,184396800,791719039,0
67,184514400,777402240,15032639
68,227908799,216899519,350761600
69,248488800,70868160,682195519
70,208857599,22906880,750200320
71,192746400,26486079,749484480
72,203918400,17896000,773107199
73,197567999,4295039,763801280
74,255897600,559071040,350761599
75,295999199,637813440,50824640
76,188630400,784560639,15748480
77,171460800,800309120,11453439
78,198861599,789571519,16464320
79,246136800,566945280,30065279
80,311522399,66573120,554776000
81,170402400,18611840,769528000
82,183926400,4295039,766664639
83,187336800,15032640,785992320
84,214149599,0,763801279
85,231554400,33644480,736599360
86,328221600,65857280,627075840
87,278006400,493929599,330466239
88,191805600,762117760,3831040
89,246724799,672173760,10737599
90,214855200,19932480,626360000
91,190041600,0,806751680
92,214384800,8590079,743041920
93,205329600,28633600,770959679
94,236258399,35076160,700091520
95,304701600,34360320,636381760
96,213796800,15748480,791003200
97,265188000,327854719,541175040
98,186631200,796014080,11453439
99,251193599,536880000,47961280
100,203095200,22191040,762369600
101,168638400,715840,774538880
102,256838400,25054399,697944000
103,259896000,511825600,375815999
104,212973599,740178560,25770240
105,206035200,753779520,34360320
106,171813600,816773440,1431680
107,192040800,784560639,2863360
108,177811200,808183360,715839
109,186866399,800309120,3579200
110,199449600,747336960,17180160
111,195333600,775970560,12885120
112,205329600,766664639,20043520
113,181339200,802204800,715839
114,192040799,740430400,1431680
115,255427200,749484480,12885120
116,188983200,654993600,143168000
117,195451200,782413119,1431680
118,178869600,810330880,0
119,185572799,790287360,1431680
120,166639200,823931840,3579200
121,168050400,811046720,0
122,195216000,779549759,6442560
123,187572000,787424000,5726719
124,185572799,807215680,0
125,185455200,800560960,2863360
126,187454400,801024960,2147520
127,178164000,772391359,2863360
128,225321600,769276160,715839
129,199684799,794118400,3579200
130,203212800,762369600,9305920
131,219676800,706534080,55835520
132,190747200,780265599,16464320
133,175341600,801024960,18611839
134,192158399,792434880,0
135,182397600,790287360,14316800
136,180751200,804604160,0
137,208269600,775254719,3579200
138,238022400,720850880,11453439
139,239433599,506098880,198287680
140,186160800,800057280,12169280
141,203330400,767380480,17180160
142,186396000,781233279,42234560
143,197332800,782413120,2863359
144,172519199,807931520,0
145,189218400,787675840,0
146,204859200,779549760,7158400
147,161817600,811046719,7874240
148,195333600,784560640,1431679
149,187571999,789571520,14316800
150,180986400,798625600,2147520
151,325987200,355308480,289915200
152,206152800,773107199,13600960
153,206388000,766664640,9305919
154,206505599,775254720,1431680
155,195098400,785992320,0
156,173930400,798877440,11453440
157,184044000,785276479,8590080
158,162993600,815341760,2863359
159,229790399,496077120,80889920
160,209092800,23622719,760222080
161,208387200,145779520,738746880
162,174400799,793402559,73731520
163,186396000,798877440,715839
164,175929599,797445759,8590080
165,214620000,763801279,5726720
166,337629599,302084480,204730240
167,202624799,45097919,710113280
168,244843200,30065280,753063679
169,186866399,25770239,686954560
170,177693600,2863359,802708480
171,238375199,25054400,732304319
172,276007199,40087039,657856960
173,212150400,298772160,671457919
174,175929599,813910079,0
175,181456800,788139839,2147519
176,225086399,748052800,2863359
177,181221599,792434879,5726720
178,182515200,797445760,6442559
179,220499999,764517119,7874240
180,228379200,718703359,25054399
181,167932799,772391360,715839
182,182515199,810330879,13600960
183,277065600,710113280,14316799
184,179927999,798877439,5010880
185,196039200,452410879,149610559
186,261424799,363646720,428788159
187,192158399,634234239,269155840
188,188865600,788855680,8590079
189,224498399,498940479,93059200
190,193452000,0,780981439
191,185337599,6442560,792434879
192,236493599,95206719,637813440
193,179928000,2863360,801024959
194,219323999,4295039,776686400
195,266481600,448831679,404449599
196,199331999,727293440,57983039
197,212150399,755927039,20759360
198,223675200,746621120,4295039
199,183573599,811046719,1431680
200,172636800,794582399,3579199
201,243784799,696512320,37939519
202,192393599,773107199,23622720
203,195098400,759506240,18611839
204,201683999,498224639,94490880
205,205800000,2147519,785276479
206,228967199,38655360,725145919
207,205682399,3579199,751632000
208,232612800,47961280,810330879
209,280475999,618485759,142452160
210,196509600,791719039,29349439
211,161817599,815341760,2147519
212,184396799,794582399,6442560
213,211562400,760222080,26486079
214,200625599,777402239,0
215,232612800,725861759,15748479
216,268598399,647835200,68004799
217,283768799,659288639,8590080
218,218383200,744473600,19327679
219,198743999,748768639,8590080
220,183808800,807215679,2863359
221,185102399,794834240,3579199
222,163934399,818205119,715840
223,177340800,808183360,37223679
224,206975999,767380479,4295040
225,199214400,577682879,27201919
226,190159199,37223680,808899199
227,233200799,19327679,760937920
228,194392800,740178560,155337279
229,300585599,564797759,113102720
230,187219200,782413119,26486079
231,200860799,779549760,4295039
232,222028799,765948799,2863360
233,184514400,798161600,1431679
234,193922399,782161279,0
235,208504800,764053119,0
236,193451999,756116160,25770239
237,186631199,806751679,0
238,182162400,799593280,715839
239,184514399,789571519,0
240,190159200,798877439,0
241,246019199,586736960,20043519
242,192863999,688889919,246964800
243,189571200,804604160,5010879
244,245783999,626359999,20043520
245,275301600,254123199,384406079
246,208857599,792434880,130282879
247,198391199,789571519,17896000
248,232260000,599873920,127419519
249,241197599,760222079,7158400
250,251311200,696512319,25770239
251,195451199,757358720,4295039
252,217795199,758790399,6442560
253,178046400,797445760,14316799
254,188512799,782413119,0
255,191452800,798161599,2147519
256,218030399,714408320,53687999
257,203212799,772391359,1431680
258,197450400,781697280,6442559
259,181221599,806035839,715840
260,281652000,586272959,10737599
261,210386399,1431680,690785599
262,195568799,25054399,754495360
263,239551200,45097920,722282559
264,364089599,246248959,532584960
265,181574400,794330559,6442559
266,235082399,738282880,8590079
267,175811999,801024959,1431680
268,256015200,733736000,0
269,181691999,783844799,715840
270,205917600,768096319,15032639
271,170284799,823216000,0
272,173812799,799341439,12885120
273,200625600,759758080,715839
274,227320799,594863039,35792000
275,280593600,299936959,545470079
276,174283199,787424000,6442559
277,204388799,762369599,8590080
278,185455200,796729920,11453439
279,209563199,787423999,2147520
280,195451200,735883519,38655359
281,182515199,793614720,4295039
282,197215199,779085759,17896000
283,189571200,764517120,25770239
284,224380799,644255999,15032640
285,223322400,553344319,284188479
286,200978399,784560640,4295039
287,251075999,187550079,420198080
288,303760800,176812480,484623679
289,207916799,22906879,713692480
290,191100000,28633599,769527999
291,282827999,164643200,670026239
292,210033599,451695039,181823360
293,216266400,22191040,755211199
294,239903999,463864319,453842560
295,185808000,768812159,25054399
296,319283999,614654720,56551359
297,244372799,334549119,214036160
298,244020000,123124480,617054079
299,184514399,19327679,791003200
300,201919200,2863359,768812159
301,294470399,-,685774719
302,-,-,834669440
303,211124064,-,983312319
304,-,-,829910400
305,-,-,989290879
306,-,-,994301759
307,-,-,988575040
308,-,-,990006719
309,-,-,990722560
310,-,-,989290879
311,-,491236451,-
312,-,-,252792212
